C19005|COVID - Консультація
92514-50|Загальна анестезія, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога
92514-19|Загальна анестезія, нормальний здоровий пацієнт, не екстрена допомога або невідомо
92514-10|Загальна анестезія, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
92514-49|Загальна анестезія, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо
92514-40|Загальна анестезія, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92514-29|Загальна анестезія, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92514-20|Загальна анестезія, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92514-39|Загальна анестезія, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92514-30|Загальна анестезія, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
92514-69|Загальна анестезія, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо
92078-00|Заміна (назо-)гастрального зонда або езофагостомічної трубки
97765-00|Заміна або додавання нового зуба на протезі, один зуб
97762-00|Заміна або додавання нового кламера до зубного протезу
92108-00|Заміна діафрагми (ковпачка) в піхві
92080-00|Заміна ентеростомічної трубки або пристрою у товстій кишці
92079-00|Заміна ентеростомічної трубки або пристрою у тонкій кишці
92109-00|Заміна іншого пессарію в піхві
92030-00|Заміна тампонів у носі
92110-00|Заміна тампону або дренажу в піхві або вульві
97644-00|Замкове кріплення
96209-10|Заправка пристрою для доставки лікарського засобу до місця призначення, психотерапевтичний лікарський засіб
96209-08|Заправка пристрою для доставки лікарського засобу, електроліт
96209-06|Заправка пристрою для доставки лікарського засобу, інсулін
96209-19|Заправка пристрою для доставки лікарського засобу, Інший та неуточнений фармакологічний засіб
96209-07|Заправка пристрою для доставки лікарського засобу, Поживна речовина
96209-02|Заправка пристрою для доставки лікарського засобу, протиінфекційний засіб
18233-00|Спінальна кров'яна латка
96209-03|Заправка пристрою для доставки лікарського засобу, стероїд
96209-01|Заправка пристрою для доставки лікарського засобу, тромболітичний засіб
97678-00|Застосування діагностичних шаблонів
97123-02|Застосування концентрованого препарату каріостатичної дії, один зуб
58500-00|Рентгенографія грудної клітки
97123-01|Застосування концентрованого препарату ремінералізуючої дії, один зуб
97927-00|Застосування лікарських препаратів/засобів у зв'язку із стоматологічними процедурами
97679-00|Застосування хірургічного шаблона для імплантатів
96108-00|Захист інтересів
96157-00|Звільнення (дренування) дихальних шляхів без розрізу
96152-00|Зворотний біологічний зв'язок
97776-00|Зняття зліпка для відновлення зубного протеза
92200-00|Зняття швів, не класифіковане в інших рубриках
92203-00|Зціджування молока з лактуючої молочної залози
96148-00|Ігрова/рекреаційна терапія та реабілітологія
97777-00|Ідентифікація зубного протезу
34533-00|Ізольована перфузія кінцівки
14206-00|Імплантація гормону за допомогою канюлі
14206-01|Імплантація живої тканини за допомогою канюлі
37217-01|Імплантація фідуціальних маркерів (координатних міток)
92179-00|Імунізація проти алергії
96100-00|Інсайт-орієнтована терапія
92075-00|Інстиляція в шлунково-кишковий тракт, крім харчування через шлунковий зонд
13100-03|Інтермітуюча гемодіафільтрація
13100-01|Інтермітуюча гемофільтрація
13100-07|Інтермітуючий перитонеальний діаліз, довгостроковий
96198-10|Інтратекальне введення лікарського засобу, психотерапевтичний лікарський засіб
96198-04|Інтратекальне введення фармакологічного засобу, антидот
96198-08|Інтратекальне введення фармакологічного засобу, електроліт
96198-06|Інтратекальне введення фармакологічного засобу, інсулін
96198-19|Інтратекальне введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96198-07|Інтратекальне введення фармакологічного засобу, поживна речовина
96198-02|Інтратекальне введення фармакологічного засобу, протиінфекційний засіб
96198-00|Інтратекальне введення фармакологічного засобу, протипухлинний засіб
96198-03|Інтратекальне введення фармакологічного засобу, стероїд
96198-01|Інтратекальне введення фармакологічного засобу, тромболітичний засіб
92139-00|Неінвазивне встановлення стимулятора росту кістки
96205-02|Інший шлях введення фармакологічного засобу, протиінфекційний засіб
96205-00|Інший шлях введення фармакологічного засобу, протипухлинний засіб
92513-99|Інфільтрація місцевим анестетиком, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо
92513-90|Інфільтрація місцевим анестетиком, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога
92513-59|Інфільтрація місцевим анестетиком, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо
92513-50|Інфільтрація місцевим анестетиком, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога
92513-19|Інфільтрація місцевим анестетиком, нормальний здоровий пацієнт, не екстрена допомога або невідомо
92513-10|Інфільтрація місцевим анестетиком, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
92513-49|Інфільтрація місцевим анестетиком, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо
92513-40|Інфільтрація місцевим анестетиком, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92513-29|Інфільтрація місцевим анестетиком, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92513-20|Інфільтрація місцевим анестетиком, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92513-39|Інфільтрація місцевим анестетиком, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92513-30|Інфільтрація місцевим анестетиком, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
96081-00|Консультування з питань взаємовідносин
92513-69|Інфільтрація місцевим анестетиком, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо
92171-00|Інша вакцинація або щеплення
90465-02|Інша медикаментозна індукція пологів
90677-00|Інша фототерапія, шкіри
92044-00|Інше збагачення киснем
92077-00|Інше зрошення (промивання) прямої кишки
96090-00|Інше консультування або навчання
92045-00|Інше контролювання атмосферного тиску та складу атмосфери
13750-06|Інший терапевтичний гемаферез
96205-10|Інший шлях введення лікарського засобу, психотерапевтичний лікарський засіб
96205-04|Інший шлях введення фармакологічного засобу, антидот
96205-08|Інший шлях введення фармакологічного засобу, електроліт
96205-06|Інший шлях введення фармакологічного засобу, інсулін
96205-19|Інший шлях введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96205-07|Інший шлях введення фармакологічного засобу, поживна речовина
96205-03|Інший шлях введення фармакологічного засобу, стероїд
96205-01|Інший шлях введення фармакологічного засобу, тромболітичний засіб
96180-00|Інші види психотерапії або психосоціальних втручань
96086-00|Інші психосоціальні консультації
92073-00|Іригація через гастростому або ентеростому
92074-00|Іригація через трубку у протоці підшлункової залози
92096-00|Іригація через холецистостому або іншу трубку у жовчній протоці
13400-00|Кардіоверсія
90019-00|Каудальна ін'єкція іншої або комбінованої лікарської субстанції
18216-29|Каудальна ін'єкція місцевого знеболювального
18216-30|Каудальна ін'єкція опіоїда
90028-02|Каудальна ін'єкція стероїда
18216-15|Каудальна інфузія іншої або комбінованої лікарської субстанції
18216-09|Каудальна інфузія місцевого знеболювального
18216-12|Каудальна інфузія опіоїда
90028-03|Каудальна інфузія стероїда
97221-00|Клінічний періодонтальний анализ і фіксація результатів
97963-00|Клінічній аналіз оклюзії включно з пальпацією м'язів і суглобів
96101-00|Когнітивна та/або поведінкова терапія [КПТ]
97015-00|Консультація стоматолога, розширена
96077-00|Консультування або навчання щодо ведення домашнього господарства
96070-00|Консультування або навчання щодо відтворення звуків, мовлення, побіжності мовлення або мови
96069-00|Консультування або навчання щодо втрати зору або розладів зору
96068-00|Консультування або навчання щодо втрати слуху або розладів слуху
96075-00|Консультування або навчання щодо догляду за собою/самообслуговування
96127-00|Лікувальна фізкультура, колінний суглоб
96071-00|Консультування або навчання щодо допоміжного засобу, адаптивного пристрою чи додаткового обладнання
96076-00|Консультування або навчання щодо заходів для підтримки або відновлення здоров'я
96080-00|Консультування або навчання щодо підготовки до батьківства, навичок виховання дітей або планування сім'ї
96072-00|Консультування або навчання щодо призначених/самостійно обраних лікарських засобів
57506-04|Рентгенографія кисті
96079-00|Консультування або навчання щодо ситуації/працевлаштування/оточуючого середовища
96078-00|Консультування або навчання щодо управління фінансами
96067-00|Консультування або навчання щодо харчування/раціону
96074-00|Консультування або психонавчання щодо залежності від азартних ігор або гри в тоталізатор
96073-00|Консультування або психонавчання щодо залежності від психоактивних речовин
92103-00|Спринцювання піхви
96085-00|Консультування у випадку горя/важкої втрати
96084-00|Консультування у випадку фізичного знущання/насильства/нападу
96107-00|Координація послуг
97741-00|Корекція (налаштування), пов'язана із зубним протезом
97966-00|Корекція положення існуючої оклюзійної шини
96082-00|Кризове консультування
30205-01|Кріотерапія ураження з залученням шкіри та хряща, множинні ураження
30205-00|Кріотерапія ураження з залученням шкіри та хряща, одне ураження
52034-00|Кріотерапія ураження слизової оболонки порожнини рота
30195-04|Кріотерапія ураження шкіри, одне ураження
30195-05|Кріотерапія уражень шкіри, множинні ураження
30195-01|Кюретаж ураженої ділянки шкіри, множинні ураження
30195-00|Кюретаж ураженої ділянки шкіри, одне ураження
96139-00|Лікувальна фізкультура, кардіореспіраторна/серцево-судинна система
96124-00|Лікувальна фізкультура, кульшовий суглоб
96122-00|Лікувальна фізкультура, ліктьовий суглоб
96126-00|Лікувальна фізкультура, м'язи гомілки
96119-00|Лікувальна фізкультура, м'язи грудної клітки та живота
96125-00|Лікувальна фізкультура, м'язи діафрагми таза
96123-00|Лікувальна фізкультура, м'язи кисті, променево-зап'ястковий суглоб або суглоби пальців
96115-00|Лікувальна фізкультура, м'язи обличчя/скронево-нижньощелепний суглоб
96121-00|Лікувальна фізкультура, м'язи руки
96120-00|Лікувальна фізкультура, м'язи спини або шиї
96128-00|Лікувальна фізкультура, м'язи стопи, гомілковостопний суглоб або суглоби пальців стопи
96117-00|Лікувальна фізкультура, м'язи стравоходу
96116-00|Лікувальна фізкультура, очні м'язи
96118-00|Лікувальна фізкультура, плечовий суглоб
96138-00|Лікувальна фізкультура, система органів дихання (респіраторна система) [дихання]
96129-00|Лікувальна фізкультура, усе тіло
96162-00|Лікувальний масаж або терапевтична маніпуляція щодо сполучної/м'яких тканин, не класифіковані в інших рубриках
97213-00|Лікування гострої періодонтальної інфекції
14050-01|Лікування інших ділянок ультрафіолетовими променями спектру В
14050-00|Лікування інших ділянок шкіри ультрафіолетовими променями спектру А та псораленом
30195-03|Лікування лазером ураження шкіри, множинні ураження
30195-02|Лікування лазером ураженої ділянки шкіри, одне ураження
30190-00|Лікування лазером уражень обличчя або шиї
14053-05|Лікування шкіри кистей та стоп ультрафіолетовими променями спектру В
14053-02|Лікування шкіри на кистях та стопах ультрафіолетовими променями спектру А та псораленом
14053-03|Лікування шкіри на кистях ультрафіолетовими променями спектру В
96147-00|Навчання навичок, що стосуються ергономіки
14053-00|Лікування шкіри рук ультрафіолетовими променями спектру А та псораленом
14053-01|Лікування шкіри стоп ультрафіолетовими променями спектру А та псораленом
14053-04|Лікування шкіри стоп ультрафіолетовими променями спектру В
39000-00|Люмбальна пункція
50115-00|Маніпуляція/мобілізація суглоба, не класифікована в інших рубриках
92131-00|Масаж передміхурової залози
90465-00|Медикаментозна індукція пологів, окситоцин
90465-01|Медикаментозна індукція пологів, простагландин
90466-00|Медикаментозна стимуляція після початку пологів
97778-00|Металева вкладка для протезного зуба
90027-00|Міждискова терапія
96177-00|Міжособистісна терапія [МОТ]
97116-00|Мікроабразія емалі, один зуб
97121-02|Місцеве застосування каріостатичного агента, 1 лікувальне застосування
97121-01|Місцеве застосування ремінералізуючого агента, 1 лікувальне застосування
97754-00|Модифікація базису зубного протеза
96104-00|Музикотерапія
97141-00|Навчання гігієні порожнини рота
96151-00|Навчання інших навичок
96134-00|Навчання навичок відтворення звуків
96137-00|Навчання навичок мови
96135-00|Навчання навичок мовлення
96136-00|Навчання навичок побіжності мовлення
96146-00|Навчання навичок праці/професійних навичок
96143-00|Навчання навичок, що стосуються ведення домашнього господарства
96114-00|Навчання навичок, що стосуються виконавчих функцій
96142-00|Навчання навичок, що стосуються використання допоміжних або адаптивних засобів, пристроїв чи обладнання
96140-00|Навчання навичок, що стосуються догляду за собою/самообслуговування
96145-00|Навчання навичок, що стосуються методів батьківського виховання
96150-00|Навчання навичок, що стосуються методів, які допомагають почуватися впевнено у воді
96110-00|Навчання навичок, що стосуються навчання
96131-00|Навчання навичок, що стосуються переміщення
96141-00|Навчання навичок, що стосуються підтримання здоров'я
57518-02|Рентгенографія гомілки
96130-00|Навчання навичок, що стосуються положення/рухомості/рухів тіла
96112-00|Навчання навичок, що стосуються сенсорної/сенсомоторної/нейросенсорної функції
96132-00|Навчання навичок, що стосуються слухової функції
96144-00|Навчання навичок, що стосуються управління фінансами
96089-00|Навчання щодо ресурсів
96087-00|Надання психологічної консультації, рекомендацій або навчання
97779-01|Надання хірургічного шаблона для імедіат-протеза
90179-02|Назофарингеальна інтубація
90663-00|Накладання лігатури на шкірний наріст
47540-01|Накладення колосовидної пов'язки на плечовий суглоб
47540-00|Накладення колосовидної пов'язки на стегно
15550-00|Налаштування поля опромінення для 3D конформної променевої терапії [3D-КПТ]
15506-02|Налаштування поля опромінення для променевої терапії з модульованою інтенсивністю дози [ІМПТ]
15509-00|Налаштування поля опромінення за допомогою рентгенологічного діагностичного приладу
15500-00|Налаштування поля опромінення за допомогою симулятора, просте
15503-00|Налаштування поля опромінення за допомогою симулятора, середньої складності
15506-00|Налаштування поля опромінення за допомогою симулятора, складне
15506-01|Налаштування поля опромінення за допомогою спеціального комп'ютерного томографа
31587-00|Налаштування шлункового бандажу
96183-00|Наративна терапія
97736-00|Негайне протезування (заміна зуба), один зуб
97961-00|Незначна оклюзійна корекція
92205-00|Неінвазивна терапевтична інтервенція, не класифікована в інших рубриках
92507-99|Нейроаксіальна блокада під час пологів та розродження, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо
92507-90|Нейроаксіальна блокада під час пологів та розродження, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога
92507-59|Нейроаксіальна блокада під час пологів та розродження, вмираючий хворий, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо
92507-50|Нейроаксіальна блокада під час пологів та розродження, вмираючий хворий, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога
92507-19|Нейроаксіальна блокада під час пологів та розродження, нормальний здоровий пацієнт, не екстрена допомога або невідомо
15600-02|Опромінення половини тіла
92507-10|Нейроаксіальна блокада під час пологів та розродження, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
92058-01|Обслуговування (виключно) іншого катетера, імплантованого для застосування фармакотерапії
92507-49|Нейроаксіальна блокада під час пологів та розродження, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо
92507-40|Нейроаксіальна блокада під час пологів та розродження, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92507-29|Нейроаксіальна блокада під час пологів та розродження, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92507-20|Нейроаксіальна блокада під час пологів та розродження, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92507-39|Нейроаксіальна блокада під час пологів та розродження, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92507-30|Нейроаксіальна блокада під час пологів та розродження, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
92507-69|Нейроаксіальна блокада під час пологів та розродження, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо
96206-03|Неуточнений шлях введення фармакологічного засобу, стероїд
92506-99|Нейроаксіальна блокада під час пологів, відсутнє документальне підтвердження присвоєння балу за шкалою ASA,не екстрена допомога або невідомо
92506-90|Нейроаксіальна блокада під час пологів, відсутнє документальне підтвердження присвоєння балу за шкалою ASA,процедура проводиться як екстрена допомога
92506-59|Нейроаксіальна блокада під час пологів, вмираючий хворий, який може загинути протягом найближчої доби навіть без хірургічного втручання,не екстрена допомога або невідомо
92506-50|Нейроаксіальна блокада під час пологів, вмираючий хворий, який може загинути протягом найближчої доби навіть без хірургічного втручання,процедура проводиться як екстрена допомога
92506-19|Нейроаксіальна блокада під час пологів, нормальний здоровий пацієнт, не екстрена допомога або невідомо
57512-03|Рентгенографія кисті та зап'ястка
92506-10|Нейроаксіальна блокада під час пологів, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
96203-10|Оральний шлях введення лікарського засобу, психотерапевтичний лікарський засіб
92506-49|Нейроаксіальна блокада під час пологів, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, не екстрена допомога або невідомо
92506-40|Нейроаксіальна блокада під час пологів, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92506-29|Нейроаксіальна блокада під час пологів, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92506-20|Нейроаксіальна блокада під час пологів, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92506-39|Нейроаксіальна блокада під час пологів, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92506-30|Нейроаксіальна блокада під час пологів, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
92506-69|Нейроаксіальна блокада під час пологів, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства,не екстрена допомога або невідомо
97577-00|Покриття вістря зуба, одне вістря
92508-99|Нейроаксіальна блокада, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо
92508-90|Нейроаксіальна блокада, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога
92508-59|Нейроаксіальна блокада, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо
92508-50|Нейроаксіальна блокада, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога
92508-19|Нейроаксіальна блокада, нормальний здоровий пацієнт, не екстрена допомога або невідомо
92508-10|Нейроаксіальна блокада, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
92508-49|Нейроаксіальна блокада, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо
92508-40|Нейроаксіальна блокада, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92508-29|Нейроаксіальна блокада, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92508-20|Нейроаксіальна блокада, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92508-39|Нейроаксіальна блокада, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92508-30|Нейроаксіальна блокада, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
96203-01|Оральний шлях введення фармакологічного засобу, тромболітичний засіб
92508-69|Нейроаксіальна блокада, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо
92042-00|Немеханічні реанімаційні заходи
92053-00|Непрямий (закритий) масаж серця
96206-10|Неуточнений шлях введення лікарського засобу, психотерапевтичний лікарський засіб
96206-04|Неуточнений шлях введення фармакологічного засобу, антидот
96206-08|Неуточнений шлях введення фармакологічного засобу, електроліт
96206-06|Неуточнений шлях введення фармакологічного засобу, інсулін
96206-19|Неуточнений шлях введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96206-07|Неуточнений шлях введення фармакологічного засобу, поживна речовина
96206-02|Неуточнений шлях введення фармакологічного засобу, протиінфекційний засіб
96206-00|Неуточнений шлях введення фармакологічного засобу, протипухлинний засіб
96206-01|Неуточнений шлях введення фармакологічного засобу, тромболітичний засіб
92206-00|Обмінне переливання крові
13306-00|Обмінне переливання крові у немовлят
90662-00|Обробка татуювання лазером
13939-02|Обслуговування (виключно) магістралі судинного доступу
13942-02|Обслуговування (виключно) пристрою для доставки лікарського засобу
97457-00|Обтурація дефекту резорбції або перфорації
97171-00|Одонтопластика, на одному зубi
97968-00|Оклюзійна корекція після проведення аналізу оклюзії
15600-04|Опромінення всієї площі шкіри
15600-03|Опромінення всього тіла
96203-04|Оральний шлях введення фармакологічного засобу, антидот
96203-08|Оральний шлях введення фармакологічного засобу, електроліт
96203-06|Оральний шлях введення фармакологічного засобу, інсулін
96203-19|Оральний шлях введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96203-07|Оральний шлях введення фармакологічного засобу, поживна речовина
96203-02|Оральний шлях введення фармакологічного засобу, протиінфекційний засіб
96203-00|Оральний шлях введення фармакологічного засобу, протипухлинний засіб
96203-03|Оральний шлях введення фармакологічного засобу, стероїд
97625-00|Основа для коронки разом зі штифтом, непряма реставрація
97911-00|Паліативні стоматологічні послуги
92173-00|Пасивна імунізація анти-D імуноглобуліном
92175-00|Пасивна імунізація антирабічним імуноглобуліном
92174-00|Пасивна імунізація імуноглобуліном проти вітряної віспи та оперізувального лишаю
13750-01|Терапевтичний лейкоферез
92176-00|Пасивна імунізація імуноглобуліном проти гепатиту В
92177-00|Пасивна імунізація імуноглобуліном проти цитомегаловірусу
92172-00|Пасивна імунізація нормальним імуноглобуліном
97878-00|Перебазування знімного апарату, обробленого
97743-00|Перебазування повного знімного зубного протеза, обробленого
97751-00|Перебазування повного знімного зубного протеза, пряме
97744-00|Перебазування часткового знімного зубного протеза, обробленого
97752-00|Перебазування часткового знімного зубного протеза, пряме
13100-06|Перитонеальний діаліз, короткостроковий
22060-00|Перфузія всього тіла
22055-00|Перфузія органу, не класифікована в інших рубриках
13760-00|Підготовка кісткового мозку або периферичної крові в лабораторних умовах для трансплантації аутологічних (власних) стовбурових клітин
97771-00|Підготовка тканин протезного ложа перед зняттям зліпків, одна обробка
96097-00|Підтримка ентерального харчування
96095-00|Підтримка лікувального харчування
96098-00|Підтримка парентерального харчування
96096-00|Підтримка перорального харчування
96185-00|Підтримуюча психотерапія, не класифікована в інших рубриках
90030-00|Підшкірна післяпроцедурна інфузія анестетика
